Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100n","C_0603_1608Metric",2.761000mm,6.546000mm,90,Top
"C2","100n","C_0603_1608Metric",14.571000mm,41.029000mm,270,Top
"C3","100n","C_0603_1608Metric",14.571000mm,36.889000mm,270,Top
"C4","100n","C_0603_1608Metric",2.761000mm,41.029000mm,270,Top
"C5","100n","C_0603_1608Metric",14.571000mm,16.499000mm,270,Top
"C6","100n","C_0603_1608Metric",14.571000mm,12.359000mm,270,Top
"C7","10u","CP_EIA-3216-10_Kemet-I",3.753500mm,21.830000mm,90,Top
"C8","100n","C_0603_1608Metric",5.809000mm,22.695000mm,270,Top
"C9","100n","C_0603_1608Metric",13.721000mm,33.678000mm,0,Top
"C10","100n","C_0603_1608Metric",2.761000mm,14.186000mm,90,Top
"C11","10u","CP_EIA-3216-10_Kemet-I",9.158000mm,33.998000mm,0,Top
"Q1","APM4953KC-TRG","SOP-8_3.9x4.9mm_P1.27mm",5.403500mm,28.410000mm,180,Top
"R1","5.1k","R_0603_1608Metric",5.401000mm,9.677500mm,180,Top
"R2","5.1k","R_0603_1608Metric",13.621000mm,9.677500mm,0,Top
"R3","10k","R_0603_1608Metric",12.871000mm,41.029000mm,270,Top
"R4","10k","R_0603_1608Metric",12.871000mm,36.889000mm,90,Top
"R5","2.2k","R_0603_1608Metric",2.761000mm,37.554000mm,90,Top
"R6","2.2k","R_0603_1608Metric",2.761000mm,17.742000mm,90,Top
"R7","10k","R_0603_1608Metric",12.871000mm,16.499000mm,270,Top
"R8","10k","R_0603_1608Metric",12.871000mm,12.359000mm,90,Top
"U1","STM32F042F6Px","TSSOP-20_4.4x6.5mm_P0.65mm",7.871000mm,38.959000mm,90,Top
"U2","STM32F042F6Px","TSSOP-20_4.4x6.5mm_P0.65mm",7.871000mm,14.429000mm,90,Top
"U3","AMS1117-3.3","SOT-223-3_TabPin2",13.750000mm,28.510000mm,180,Top
